,harb_code,lat,lon,name_IT,name_HR,link
2052,NOHAU,59.416667,5.266667,,Haugesund,
2053,NOHEN,68.15,14.216667,,Henningsvaer,
2054,NOHFT,70.666667,23.666667,,Hammerfest,
2055,NOHNE,66.233333,13.616667,,Hemnesberget,
2056,NOHOK,63.416667,10.8,,Hommelvik,
2057,NOHOL,59.483333,10.3,,Holmestrand,
2058,NOHOR,59.416667,10.5,,Horten,
2059,NOHRD,68.8,16.55,,Harstad,
2060,NOHRI,62.366667,6.033333,,Hareid,
2061,NOHRS,62.9,6.966667,,Haroysund,
2062,NOHUR,59.55,10.566667,,Tofte,
2063,NOHUS,59.866667,5.766667,,Husnes,
2064,NOHVG,70.983333,26.0,,Honningsvag,
2065,NOKAR,59.266667,5.516667,,Karsto,
2066,NOKIR,58.233333,6.533333,,Kirkehamn,
2067,NOKJE,67.516667,14.766667,,Kjerringoy,
2068,NOKJF,70.95,27.333333,,Kjollefjorden,
2069,NOKKN,69.733333,30.05,,Kirkenes,
2070,NOKMO,59.466667,10.683333,,Kambo,
2071,NOKOP,59.283333,5.316667,,Kopervik,
2072,NOKRA,58.866667,9.416667,,Kragero,
2073,NOKRS,58.15,8.0,,Kristiansand,
2074,NOKSU,63.116667,7.733333,,Kristiansund,
2075,NOKVS,70.5,23.983333,,Kvalsund,
2076,NOLAR,59.05,10.033333,,Larvik,
2077,NOLEV,63.75,11.3,,Levanger,
2078,NOLGS,63.533333,10.9,,Langstein,
2079,NOLID,68.483333,16.883333,,Lilandsgrunnen,
2080,NOLOD,68.416667,16.0,,Lodingen,
2081,NOLRI,59.783333,5.5,,Leirvik,
2082,NOLVG,67.366667,15.6,,Lakselv,
2083,NOMAN,58.016667,7.466667,,Mandal,
2084,NOMAY,61.933333,5.116667,,Maloy,
2085,NOMJF,65.833333,13.2,,Mosjoen,
2086,NOMLM,64.066667,11.233333,,Malm,
2087,NOMLT,62.3,5.65,,Moldtustranda,
2088,NOMOL,62.733333,7.166667,,Molde,
2089,NOMON,60.816667,5.033333,,Mongstad,
2090,NOMOS,59.7,5.4,,Mosterhamn,
2091,NOMQN,66.316667,14.133333,,Mo I Rana,
2092,NOMRV,63.433333,10.85,,Muruvik,
2093,NOMSS,59.45,10.666667,,Moss,
2094,NONHS,60.366667,6.15,,Norheimsund,
2095,NONVK,68.433333,17.416667,,Narvik,
2096,NONZG,60.35,5.166667,,Brattholmen,
2097,NOODD,60.083333,6.55,,Odda,
2098,NOOKF,70.233333,22.35,,Oksfjord,
2099,NOORS,62.2,6.133333,,Orstav,
2100,NOOSL,59.916667,10.75,,Oslo,
2101,NOOSY,64.466667,11.5,,Namsos,
2102,NOPOR,59.15,9.666667,,Porsgrunn,
2103,NOREI,67.933333,13.1,,Reine,
2104,NOREK,58.333333,6.266667,,Rekefjord,
2105,NORIS,58.716667,9.233333,,Risor,
2106,NORMJ,69.52562925,19.00754929,,Olavsvern,
2107,NOROG,67.1,15.416667,,Rognan,
2108,NORVK,64.866667,11.25,,Rorvik,
2109,NOSAD,59.116667,10.233333,,Sandefjorden,
2110,NOSAS,58.85,5.75,,Sandnes,
2111,NOSAU,59.65,6.35,,Sauda,
2112,NOSBU,64.8,11.866667,,Salsbruket,
2113,NOSEG,59.316667,10.516667,,Slagenstangen,
2114,NOSJV,68.883333,17.833333,,Sjovegan,
2115,NOSKE,59.2,9.6,,Skien,
2116,NOSKN,68.566667,14.916667,,Stokkmarknes,
2117,NOSKU,59.15,5.266667,,Skudeneshavn,
2118,NOSLX,68.7,15.416667,,Sortland,
2119,NOSPG,59.266667,11.1,,Sarpsborg,
2120,NOSRO,68.166667,14.666667,,Skrova Havn,
2121,NOSSJ,66.016667,12.633333,,Sandnessjoen,
2122,NOSTE,64.016667,11.5,,Steinkjer,
2123,NOSTU,60.616667,4.85,,Stura,
2124,NOSUN,62.683333,8.55,,Sunndalsora,
2125,NOSUZ,68.116667,13.85,,Stamsund,
2126,NOSVG,58.966667,5.75,,Stavanger,
2127,NOSVI,66.866667,13.716667,,Ornes,
2128,NOSVJ,68.233333,14.583333,,Svolvaer,
2129,NOSVR,70.633333,21.983333,,Sorvaer,
2130,NOSVV,59.616667,10.4,,Svelvik,
2131,NOTAE,58.933333,5.583333,,Tananger,
2132,NOTJL,65.833333,12.433333,,Tjotta,
2133,NOTON,59.283333,10.416667,,Tonsberg,
2134,NOTOS,69.65,18.966667,,Tromso,
2135,NOTRD,63.433333,10.4,,Trondheim,
2136,NOTRY,68.183333,15.666667,,Tranoy,
2137,NOTVE,58.616667,8.933333,,Tvedestrand,
2138,NOUVK,68.566667,16.266667,,Ulvik,
2139,NOVAK,60.483333,5.733333,,Vaksdal,
2140,NOVAL,59.266667,10.5,,Valloy,
2141,NOVAO,70.366667,31.116667,,Vardo,
2142,NOVDS,70.066667,29.75,,Vadso,
2431,SEAHU,55.933333,14.316667,,Ahus,
2432,SEBEA,56.383333,16.1,,Bergkvara,
2433,SEBLD,58.483333,11.333333,,Bovallstrand,
2434,SEBNF,65.016667,21.383333,,Brannfors,
2435,SEBOL,63.0,17.7,,Bollstabruk,
2436,SEBRO,58.383333,11.416667,,Brofjorden,
2437,SEDEG,56.35,16.416667,,Degerhamn,
2438,SEDOM,63.266667,18.733333,,Domsjo,
2439,SEFAG,56.9,12.5,,Falkenberg,
2440,SEFIG,57.366667,16.5,,Figeholm,
2441,SEFJA,58.6,11.283333,,Fjallbacka,
2442,SEFSD,57.916667,19.05,,Farosund,
2443,SEGOT,57.7,11.966667,,Goteborg,
2444,SEGRE,58.683333,11.266667,,Grebbestad,
2445,SEGRH,60.1,18.816667,,Grisslehamn,
2446,SEGUB,59.316667,18.383333,,Gustavsberg,
2447,SEGUS,62.833333,17.883333,,Gustavsvik,
2448,SEGVX,60.683333,17.166667,,Gavle,
2449,SEHAD,56.666667,12.866667,,Halmstad,
2450,SEHAK,60.05,18.583333,,Hallstavik,
2451,SEHAN,60.183333,18.45,,Hargshamn,
2452,SEHEL,56.05,12.7,,Helsingborg,
2453,SEHND,62.633333,17.933333,,Harnosand,
2454,SEHOG,56.2,12.55,,Hoganas,
2455,SEHUN,58.433333,11.3,,Hunnebostrand,
2456,SEHUS,63.333333,19.15,,Husum (SE),
2457,SEHUV,61.733333,17.116667,,Hudiksvall,
2458,SEIGG,61.65,17.083333,,Iggesund,
2459,SEJAT,57.1,16.566667,,Stora Jatterson,
2460,SEKAA,56.166667,15.6,,Karlskrona,
2461,SEKAN,56.166667,14.866667,,Karlshamn,
2462,SEKAS,60.683333,17.266667,,Karskar,
2463,SEKLI,57.383333,18.2,,Klintehamn,
2464,SEKLR,56.666667,16.366667,,Kalmar,
2465,SEKMH,63.166667,18.583333,,Kopmanholmen,
2466,SEKRF,62.933333,17.8,,Kramfors,
2467,SEKXV,65.8,23.283333,,Karlsborg,
2468,SELAA,55.866667,12.833333,,Landskrona,
2469,SELIM,55.583333,12.933333,,Limhamn,
2470,SELLA,65.583333,22.166667,,Lulea,
2471,SELYS,58.266667,11.433333,,Lysekil,
2472,SEMMA,55.616667,13.0,,Malmo,
2473,SEMSD,57.883333,11.583333,,Marstrand,
2474,SENOG,63.566667,19.483333,,Nordmaling,
2475,SENOT,60.933333,17.166667,,Norrsundet,
2476,SENRK,58.583333,16.2,,Norrkoping,
2477,SENYN,58.9,17.966667,,Nynashamn,
2478,SENYO,58.75,17.016667,,Nykoping,
2479,SEOBB,63.7,20.333333,,Obbola,
2480,SEOER,63.283333,18.716667,,Ornskoldsvik,
2481,SEOSK,57.266667,16.45,,Oskarshamn,
2482,SEOXE,58.666667,17.116667,,Oxelosund,
2483,SEPIT,65.316667,21.483333,,Pitea,
2484,SERNB,56.183333,15.3,,Ronneby,
2485,SERNH,57.116667,18.5,,Ronehamn,
2486,SERUV,63.533333,19.45,,Rundvik,
2487,SESAE,61.266667,17.183333,,Sandarne,
2488,SESAK,65.733333,23.766667,,Sandvik,
2489,SESDL,62.383333,17.35,,Sundsvall,
2490,SESIM,55.55,14.366667,,Simrishamn,
2491,SESKE,64.683333,21.233333,,Skelleftehamn,
2492,SESLI,57.7,18.816667,,Slite,
2493,SESMD,58.933333,11.166667,,Stromstad,
2494,SESOE,59.183333,17.65,,Sodertalje,
2495,SESOL,56.05,14.583333,,Solvesborg,
2496,SESOO,61.3,17.083333,,Soderhamn,
2497,SESOR,62.5,17.5,,Soraker,
2498,SESSR,60.65,17.4,,Skutskar,
2499,SESTA,61.9,17.35,,Stocka,
2500,SESTE,58.066667,11.833333,,Stenungsund,
2501,SESTK,62.333333,17.383333,,Stockvik,
2502,SESTO,59.333333,18.05,,Stockholm,
2503,SESUS,57.833333,18.8,,Storugns,
2504,SETOE,65.9,22.65,,Torehamn,
2505,SETRG,55.366667,13.15,,Trelleborg,
2506,SEUDD,58.35,11.916667,,Uddevalla,
2507,SEUME,63.7,20.35,,Umea Hamn,
2508,SEUTA,62.766667,17.933333,,Utansjo,
2509,SEVAG,57.116667,12.25,,Varberg,
2510,SEVAJ,62.983333,17.716667,,Vaja,
2511,SEVAL,61.183333,17.166667,,Vallvik,
2512,SEVBY,57.633333,18.283333,,Visby,
2513,SEVER,57.733333,16.533333,,Verkeback,
2514,SEVIV,62.483333,17.35,,Vivstavarv,
2515,SEVST,59.616667,16.55,,Vasteras,
2516,SEVVK,57.766667,16.65,,Vastervik,
2517,SEYST,55.433333,13.833333,,Ystad,
